id,email,birth_date,birth_date_year,sex,province,location,distance,steps,latitude,longitude
1,seoyeonsong@daum.net,1964-11-23,1964,남자,서울특별시,경기도 수원시 권선구 권선동,4308,5901,37.2579271,127.0224187
2,sanghun77@live.com,1974-02-19,1974,여자,전라남도,강원도 춘천시 석사동,4757,6516,37.85664093,127.7484385
3,sangceolgim@live.com,1970-06-25,1970,남자,제주도,전라남도 목포시 상동,5589,7656,34.80084549,126.4136438
4,xjo@gmail.com,1977-03-26,1977,남자,충청북도,경상북도 포항시 북구 우현동,6287,8612,36.05358348,129.362017
5,zi@hanmail.net,1996-09-22,1996,남자,전라남도,충청북도 충주시 문화동,4635,6349,36.97029608,127.9181995
6,baedoyun@gmail.com,1984-11-05,1984,여자,경기도,경상남도 창원시 성주동,5015,6870,35.18362701,128.7038529
7,simjunyeong@hanmail.net,1960-03-11,1960,남자,서울특별시,서울특별시 강남구 신사동,2991,4097,37.5191785,127.0234542
8,hseo@hanmail.net,1977-04-18,1977,여자,제주도,제주도 서귀포시 중문동,6844,9375,33.2573603,126.4317624
9,jsim@hanmail.net,1982-10-27,1982,남자,충청남도,제주도 서귀포시 중문동,7817,10708,33.2573603,126.4317624
10,yeongsig37@naver.com,2001-10-04,2001,남자,제주도,제주도 서귀포시 중문동,4743,6497,33.2573603,126.4317624
11,ijihyeon@daum.net,1985-08-21,1985,여자,경기도,제주도 서귀포시 중문동,6348,8696,33.2573603,126.4317624
12,sugjao@naver.com,1963-10-17,1963,남자,경상북도,경기도 성남시 분당구 정자동,4444,6087,37.36263671,127.1146307
13,seojiweon@live.com,1993-03-10,1993,남자,충청남도,경기도 고양시 덕양구 주교동,5292,7249,37.65683566,126.8327716
14,jaehocoe@dreamwiz.com,1975-08-19,1975,남자,경상남도,경상남도 김해시 불암동,4329,5930,35.22350412,128.9270246
15,ccoe@dreamwiz.com,1996-05-19,1996,남자,경기도,경상남도 창원시 성주동,7704,10554,35.18362701,128.7038529
16,ogsuni@hotmail.com,1964-12-14,1964,여자,경기도,제주도 서귀포시 중문동,5484,7513,33.2573603,126.4317624
17,minji51@dreamwiz.com,2001-10-16,2001,여자,충청북도,경기도 성남시 중원구 상대원동,4246,5816,37.44275172,127.1669886
18,hwangmiyeong@live.com,1960-11-10,1960,여자,전라남도,서울특별시 마포구 서교동,7399,10135,37.55820368,126.9169273
19,myeongsug07@gmail.com,1974-02-27,1974,여자,경기도,서울특별시 강북구 송중동,6890,9438,37.62167782,127.0335498
20,yeweon99@live.com,2010-10-21,2010,여자,서울특별시,서울특별시 서대문구 충정로동,7047,9653,37.56488357,126.9656484
21,seonghogim@gmail.com,2009-03-11,2009,여자,충청북도,서울특별시 강북구 송중동,6502,8907,37.62167782,127.0335498
22,minseogo@hanmail.net,1977-08-29,1977,여자,서울특별시,서울특별시 마포구 서교동,3130,4288,37.55820368,126.9169273
23,kbag@nate.com,2005-08-30,2005,남자,경상남도,서울특별시 강북구 미아동,6762,9263,37.61552986,127.0261816
24,qbaeg@gmail.com,1962-12-26,1962,여자,경기도,서울특별시 강북구 미아동,3996,5474,37.61552986,127.0261816
25,van@hotmail.com,1964-03-05,1964,남자,경상북도,서울특별시 강남구 신사동,4319,5917,37.5191785,127.0234542
26,jihungim@nate.com,1976-01-21,1976,여자,충청남도,서울특별시 강북구 미아동,5086,6967,37.61552986,127.0261816
27,cunjai@nate.com,2004-02-07,2004,여자,경기도,서울특별시 마포구 서교동,2881,3947,37.55820368,126.9169273
28,ii@nate.com,2008-01-24,2008,남자,서울특별시,대전광역시 유성구 원신흥동,7394,10129,36.34247821,127.3429369
29,zjo@hanmail.net,1992-12-02,1992,여자,서울특별시,서울특별시 송파구 잠실동,3304,4526,37.50455782,127.0865691
30,minjigim@daum.net,1991-07-14,1991,여자,서울특별시,경기도 성남시 수정구 신흥동,8153,11169,37.43973017,127.1446639
31,doyun11@gmail.com,2003-08-13,2003,남자,서울특별시,경기도 고양시 덕양구 주교동,4908,6723,37.65683566,126.8327716
32,wgim@naver.com,1990-02-21,1990,남자,서울특별시,서울특별시 마포구 서교동,8146,11159,37.55820368,126.9169273
33,yeonghwanan@hotmail.com,1988-09-01,1988,남자,경기도,서울특별시 영등포구 여의도동,7093,9717,37.52580566,126.9266096
34,jaehyeon22@naver.com,2008-10-27,2008,남자,경기도,서울특별시 영등포구 여의도동,8596,11776,37.52580566,126.9266096
35,areumyun@naver.com,2001-05-25,2001,남자,경기도,경기도 안양시 동안구 관양동,4295,5884,37.405859,126.9586544
36,fhan@dreamwiz.com,1982-09-21,1982,여자,서울특별시,경기도 성남시 분당구 정자동,2599,3560,37.36263671,127.1146307
37,gimjunyeong@live.com,1974-12-29,1974,여자,서울특별시,경기도 안양시 동안구 관양동,4979,6820,37.405859,126.9586544
38,yeonghogim@hanmail.net,1991-03-20,1991,남자,서울특별시,경기도 안양시 동안구 관양동,7621,10440,37.39718489,126.978675
39,bryu@hanmail.net,1961-12-25,1961,여자,서울특별시,서울특별시 송파구 잠실동,7359,10081,37.50455782,127.0865691
40,idohyeon@hotmail.com,1983-08-10,1983,남자,서울특별시,울산광역시 중구 성안동,4764,6526,35.57906778,129.3224268
41,rhan@live.com,1969-12-13,1969,남자,서울특별시,경기도 성남시 중원구 상대원동,8353,11443,37.44275172,127.1669886
42,hyeonjugang@dreamwiz.com,1987-04-07,1987,여자,서울특별시,경상남도 밀양시 내일동,6267,8585,35.49161857,128.751797
43,miyeonggim@nate.com,1968-03-01,1968,남자,서울특별시,경기도 수원시 영통구 매탄동,2692,3687,37.27239926,127.0460918
44,tgim@hotmail.com,1983-10-13,1983,남자,경기도,강원도 춘천시 퇴계동,7026,9624,37.84700762,127.7327307
45,jiyeoni@daum.net,2002-03-23,2002,여자,서울특별시,전라남도 목포시 상동,8299,11369,34.80084549,126.4136438
46,jihyeon42@live.com,1987-04-26,1987,여자,경상남도,경상북도 포항시 북구 두호동,4818,6600,36.0578989,129.3778739
47,seojun80@hanmail.net,1988-08-26,1988,남자,충청남도,충청북도 청주시 서원구 사직1동,3451,4727,36.64133985,127.4816081
48,xgim@gmail.com,1979-08-14,1979,여자,전라북도,경상남도 창원시 성주동,3338,4573,35.18362701,128.7038529
49,ggim@hanmail.net,1964-01-28,1964,여자,경상남도,서울특별시 강남구 신사동,2610,3576,37.5191785,127.0234542
50,fcoe@daum.net,1980-04-13,1980,남자,경상북도,서울특별시 영등포구 여의도동,8633,11826,37.52580566,126.9266096
51,fi@gmail.com,1990-03-06,1990,남자,경기도,서울특별시 송파구 잠실동,2648,3627,37.50455782,127.0865691
52,subin64@gmail.com,1969-06-15,1969,여자,경기도,부산광역시 부산진구 전포제1동,3630,4972,35.15355474,129.0675338
53,siui@hotmail.com,1975-11-13,1975,여자,경기도,경상남도 창원시 성주동,2778,3806,35.18362701,128.7038529
54,jihun41@live.com,1987-01-29,1987,남자,전라북도,부산광역시 부산진구 부전제1동,3138,4298,35.16360753,129.0629884
55,jihyeon87@hanmail.net,1997-04-29,1997,여자,경상남도,경상남도 김해시 불암동,8394,11498,35.22350412,128.9270246
56,obyeongceol@hotmail.com,1998-02-18,1998,남자,경상남도,경상남도 김해시 불암동,3892,5332,35.22350412,128.9270246
57,jihyeongim@nate.com,1992-11-20,1992,여자,경상남도,경상남도 김해시 불암동,2712,3715,35.22350412,128.9270246
58,juweon51@naver.com,2005-11-05,2005,남자,충청북도,경기도 안양시 동안구 호계동,5105,6993,37.39050639,126.9502273
59,jiajo@dreamwiz.com,2000-06-25,2000,여자,충청북도,경기도 고양시 덕양구 주교동,7537,10324,37.65683566,126.8327716
60,seoyunhwang@nate.com,1984-07-29,1984,남자,서울특별시,서울특별시 관악구 인헌동,3090,4233,37.47515984,126.9652837
61,ijunyeong@hotmail.com,1971-02-15,1971,여자,서울특별시,서울특별시 영등포구 여의도동,8332,11414,37.52580566,126.9266096
62,jeonghogang@live.com,1991-06-22,1991,남자,서울특별시,경기도 안양시 만안구 안양동,5144,7047,37.38863794,126.9252441
63,coeyeongsig@daum.net,1972-10-24,1972,여자,서울특별시,경기도 성남시 중원구 상대원동,3127,4284,37.44275172,127.1669886
64,juweon49@daum.net,1994-03-22,1994,남자,충청북도,서울특별시 영등포구 여의도동,3171,4344,37.52580566,126.9266096
65,gbae@gmail.com,1961-11-21,1961,남자,경기도,경기도 성남시 분당구 정자동,3657,5010,37.36263671,127.1146307
66,gyeongsu01@live.com,1964-04-15,1964,여자,경기도,경상남도 거제시 장승포동,6661,9125,34.85677719,128.7203081
67,ryueunyeong@hanmail.net,1970-04-10,1970,남자,경기도,경상남도 밀양시 내일동,7656,10487,35.49161857,128.751797
68,eunyeongcoe@hotmail.com,2009-05-03,2009,여자,서울특별시,경기도 성남시 분당구 정자동,3820,5233,37.36263671,127.1146307
69,bagyeongsun@hotmail.com,2009-08-17,2009,남자,경기도,울산광역시 중구 성안동,8188,11216,35.57906778,129.3224268
